年,都道府県,認知件数,人口10万人当たり
2025,京都,12398,492
2025,大阪,84107,960.5
2025,兵庫,39899,747.6
2025,奈良,6265,487.5
2025,和歌山,3946,448.4
2025,鳥取,3045,573.4
2025,島根,2173,338.5
2025,岡山,10267,560.7
2025,広島,14735,542.9
2025,山口,4921,384.2
2025,徳島,3231,471.7
2025,香川,6334,690.7
2025,愛媛,6947,544.4
2025,高知,3630,553.4
2025,福岡,38577,757.6
2025,佐賀,4162,528.2
2025,長崎,4209,336.2
2025,熊本,7529,443.7
2025,大分,4151,382.6
2025,宮崎,4717,456.6
2025,鹿児島,8441,551
2025,沖縄,10677,728.3
