図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39歳,,17870,14904,13469,12892,13222,13629,12953,12389,12234,12861,12861,13811,14575,16718,18849,20473,21673,23444,23439,22557,22625,22401,21166,20538,18743,18131,17442,17046,15962,15698,14605,13585,12965,12631,13180,13766,13836
,人口10万人当たり,187.3,165.1,156.5,156.6,165.4,172.4,165.4,159.5,156.7,163.5,162.4,169.9,181.9,202.4,222.6,236.4,247.1,252.8,248.7,234.7,232.9,227.1,217.9,218,206.9,209.1,207.2,209.6,201.5,202.5,191.4,181.2,176.3,175.2,187,200.3,201.3
40-44歳,,18363,17449,18230,17985,18418,18204,16022,13842,12737,12676,12740,12826,13349,15005,16498,17955,18942,19670,19536,19469,19747,20144,19872,20579,19543,19691,19302,18734,17611,16706,15537,14214,13548,12662,13689,13962,14527
,人口10万人当たり,182.4,163.3,161.9,165.7,179.9,191.7,177.7,161,155,158.8,161.3,164.1,172.1,192.4,210,227,233.5,246.4,237.6,231.6,230.1,228.7,213.3,217.3,202.2,201.1,196,192.6,186,182.9,177.1,167.7,165.8,159.4,176.3,183,190.4
45-49歳,,15683,14397,13683,14534,16936,18737,18458,18940,18410,17498,17042,15750,15473,16005,17415,17757,18126,18561,17880,17404,17431,17237,16895,16840,16508,16852,17175,17149,17075,17000,16178,15696,15051,14164,14404,14705,15010
,人口10万人当たり,170.1,159.2,159.1,162.1,178.3,187.8,173.6,169.2,170.6,171.9,180.5,176.3,181.5,196.4,219.6,226.1,233.8,241.2,231.2,223.7,222.7,213,212.1,205.3,196.4,195.7,195.9,184.5,180,175.1,164,159.1,154.7,149.7,158,168.1,171.6
50-54歳,,11600,10803,11157,12029,13550,15888,14979,14098,13968,15393,16959,18600,20267,22264,23506,23535,22557,21062,19362,17462,16865,16052,15507,14916,14176,13911,14189,13913,13787,13813,13683,13157,13430,13521,14659,15135,15905
,人口10万人当たり,144,133.2,135,141.8,155.8,175.3,167.7,166.1,157.9,164.3,172.1,177.8,184,209.9,234.8,253.1,255.5,250.2,240.5,223.3,217.9,208.5,203,194.3,183.3,178.6,176.8,175.8,168.7,164.7,159,150.6,145.2,143.3,151.9,154.6,162.5
55-59歳,,8990,8297,8550,9151,10647,11682,11364,11289,11557,12547,14582,14780,15068,17346,20591,23440,25462,27558,26365,23872,20997,19112,16889,15300,13461,12874,12592,12056,11813,11650,11405,11289,10879,10686,11974,12710,13367
,人口10万人当たり,118.5,107.1,108.6,115.1,133.9,148.8,142.7,139.1,138.8,147,163.9,168.9,181,200.4,224.5,243.2,247.3,254.6,252.7,242.6,229.9,219,203,192.4,174.1,168.2,165.7,159.7,155.4,151.9,147.4,142.2,139,132.4,144.6,149.7,157.4
